,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
803,67.0,22.0,20.0,15.0,17.0,24.0,21.0,23.0,19.0,17.0,24.0,20.0,21.0,21.0,17.0,16.0,21.0,22.0,27.0,17.0
804,65.0,19.0,23.0,17.0,17.0,23.0,20.0,22.0,22.0,16.0,23.0,22.0,21.0,18.0,21.0,17.0,22.0,23.0,28.0,16.0
805,64.0,16.0,23.0,19.0,17.0,24.0,18.0,25.0,22.0,16.0,26.0,16.0,24.0,21.0,20.0,18.0,22.0,21.0,27.0,18.0
806,66.0,15.0,22.0,22.0,16.0,20.0,16.0,27.0,20.0,15.0,23.0,18.0,24.0,23.0,20.0,24.0,22.0,22.0,26.0,17.0
807,66.0,13.0,25.0,23.0,15.0,23.0,20.0,27.0,22.0,15.0,24.0,19.0,22.0,20.0,17.0,20.0,25.0,22.0,23.0,16.0
808,67.0,11.0,25.0,22.0,15.0,23.0,23.0,28.0,22.0,13.0,25.0,20.0,19.0,21.0,17.0,21.0,19.0,18.0,23.0,19.0
809,67.0,12.0,26.0,19.0,15.0,27.0,23.0,26.0,19.0,12.0,29.0,19.0,17.0,24.0,16.0,20.0,16.0,16.0,22.0,18.0
810,65.0,8.0,23.0,19.0,16.0,22.0,24.0,23.0,20.0,12.0,24.0,17.0,17.0,25.0,19.0,22.0,18.0,15.0,20.0,18.0
811,67.0,11.0,26.0,20.0,16.0,22.0,23.0,22.0,20.0,13.0,22.0,22.0,18.0,28.0,22.0,22.0,20.0,15.0,26.0,18.0
812,64.0,11.0,25.0,18.0,18.0,23.0,27.0,20.0,20.0,10.0,23.0,25.0,18.0,28.0,22.0,18.0,23.0,19.0,24.0,18.0
813,69.0,10.0,26.0,13.0,20.0,25.0,28.0,22.0,19.0,13.0,22.0,24.0,22.0,27.0,17.0,15.0,24.0,19.0,26.0,16.0
814,68.0,11.0,25.0,13.0,17.0,27.0,28.0,24.0,14.0,14.0,21.0,25.0,19.0,22.0,22.0,15.0,19.0,18.0,26.0,16.0
